place_type
acai_shop
accounting
administrative_area_level_1
administrative_area_level_2
administrative_area_level_3
administrative_area_level_4
administrative_area_level_5
administrative_area_level_6
administrative_area_level_7
adventure_sports_center
afghani_restaurant
african_restaurant
airport
airstrip
american_restaurant
amphitheatre
amusement_center
amusement_park
apartment_building
apartment_complex
aquarium
archipelago
arena
art_gallery
art_studio
asian_grocery_store
asian_restaurant
astrologer
athletic_field
atm
auditorium
auto_parts_store
bagel_shop
bakery
bank
banquet_hall
bar
bar_and_grill
barbecue_area
barbecue_restaurant
barber_shop
beach
beautician
beauty_salon
bed_and_breakfast
bicycle_store
body_art_service
book_store
botanical_garden
bowling_alley
brazilian_restaurant
breakfast_restaurant
brunch_restaurant
budget_japanese_inn
buffet_restaurant
bus_station
bus_stop
butcher_shop
cafe
cafeteria
campground
camping_cabin
candy_store
car_dealer
car_rental
car_repair
car_wash
casino
cat_cafe
catering_service
cell_phone_store
cemetery
child_care_agency
childrens_camp
chinese_restaurant
chiropractor
chocolate_factory
chocolate_shop
church
city_hall
clothing_store
coffee_shop
colloquial_area
comedy_club
community_center
concert_hall
condominium_complex
confectionery
consultant
continent
convenience_store
convention_center
corporate_office
cottage
country
courier_service
courthouse
cultural_center
cultural_landmark
cycling_park
dance_hall
deli
dental_clinic
dentist
department_store
dessert_restaurant
dessert_shop
diner
discount_store
doctor
dog_cafe
dog_park
donut_shop
drugstore
electric_vehicle_charging_station
electrician
electronics_store
embassy
establishment
event_venue
extended_stay_hotel
farm
farmstay
fast_food_restaurant
ferris_wheel
ferry_terminal
finance
fine_dining_restaurant
fire_station
fishing_charter
fishing_pond
fitness_center
florist
food
food_court
food_delivery
food_store
foot_care
french_restaurant
funeral_home
furniture_store
garden
gas_station
general_contractor
geocode
gift_shop
golf_course
government_office
greek_restaurant
grocery_store
guest_house
gym
hair_care
hair_salon
hamburger_restaurant
hardware_store
health
heliport
hiking_area
hindu_temple
historical_landmark
historical_place
home_goods_store
home_improvement_store
hospital
hostel
hotel
housing_complex
ice_cream_shop
ice_skating_rink
indian_restaurant
indonesian_restaurant
inn
insurance_agency
international_airport
internet_cafe
intersection
italian_restaurant
japanese_inn
japanese_restaurant
jewelry_store
juice_shop
karaoke
korean_restaurant
landmark
laundry
lawyer
lebanese_restaurant
library
light_rail_station
liquor_store
local_government_office
locality
locksmith
lodging
makeup_artist
marina
market
massage
meal_delivery
meal_takeaway
medical_lab
mediterranean_restaurant
mexican_restaurant
middle_eastern_restaurant
mobile_home_park
monument
mosque
motel
movie_rental
movie_theater
moving_company
museum
nail_salon
national_park
natural_feature
neighborhood
neighborhood_police_station
night_club
observation_deck
off_roading_area
opera_house
painter
park
park_and_ride
parking
performing_arts_theater
pet_store
pharmacy
philharmonic_hall
physiotherapist
picnic_ground
pizza_restaurant
place_of_worship
planetarium
playground
plaza
plumber
plus_code
point_of_interest
police
political
post_office
postal_code
postal_code_prefix
postal_code_suffix
postal_town
premise
preschool
primary_school
private_guest_room
psychic
pub
public_bath
public_bathroom
ramen_restaurant
ranch
real_estate_agency
resort_hotel
rest_stop
restaurant
roller_coaster
roofing_contractor
route
rv_park
sandwich_shop
sauna
school
school_district
sculpture
seafood_restaurant
secondary_school
shoe_store
shopping_mall
skateboard_park
ski_resort
skin_care_clinic
spa
spanish_restaurant
sporting_goods_store
sports_activity_location
sports_club
sports_coaching
sports_complex
stable
stadium
state_park
steak_house
storage
store
street_address
sublocality
sublocality_level_1
sublocality_level_2
sublocality_level_3
sublocality_level_4
sublocality_level_5
subpremise
subway_station
summer_camp_organizer
supermarket
sushi_restaurant
swimming_pool
synagogue
tailor
tanning_studio
taxi_stand
tea_house
telecommunications_service_provider
thai_restaurant
tour_agency
tourist_attraction
tourist_information_center
town_square
train_station
transit_depot
transit_station
travel_agency
truck_stop
turkish_restaurant
university
vegan_restaurant
vegetarian_restaurant
veterinary_care
video_arcade
vietnamese_restaurant
visitor_center
warehouse_store
water_park
wedding_venue
wellness_center
wholesaler
wildlife_park
wildlife_refuge
wine_bar
yoga_studio
zoo
