store,address,date,review_cnt
% Arabica阿拉比卡咖啡(比斯特上海购物村店),申迪东路88号比斯特上海购物村月牙畔1308号,10/10/2025,33
% Arabica阿拉比卡咖啡(比斯特上海购物村店),申迪东路88号比斯特上海购物村月牙畔1308号,10/09/2025,30
% Arabica阿拉比卡咖啡(比斯特上海购物村店),申迪东路88号比斯特上海购物村月牙畔1308号,10/08/2025,17
% Arabica阿拉比卡咖啡(比斯特上海购物村店),申迪东路88号比斯特上海购物村月牙畔1308号,10/07/2025,31
% Arabica阿拉比卡咖啡(比斯特上海购物村店),申迪东路88号比斯特上海购物村月牙畔1308号,10/06/2025,41
Manner Coffee(国客滨江店),太平路国际港务大厦南60米（江边）,10/11/2025,84
Manner Coffee(国客滨江店),太平路国际港务大厦南60米（江边）,10/10/2025,60
Manner Coffee(国客滨江店),太平路国际港务大厦南60米（江边）,10/09/2025,57
Manner Coffee(国客滨江店),太平路国际港务大厦南60米（江边）,10/08/2025,73
Manner Coffee(国客滨江店),太平路国际港务大厦南60米（江边）,10/07/2025,67
Manner Coffee(国客滨江店),太平路国际港务大厦南60米（江边）,10/06/2025,108
Manner Coffee(徐汇滨江店),斜土路街道瑞宁路243号（近滨江滑板公园）,10/11/2025,0
Manner Coffee(徐汇滨江店),斜土路街道瑞宁路243号（近滨江滑板公园）,10/10/2025,0
Manner Coffee(徐汇滨江店),斜土路街道瑞宁路243号（近滨江滑板公园）,10/09/2025,0
Manner Coffee(徐汇滨江店),斜土路街道瑞宁路243号（近滨江滑板公园）,10/08/2025,0
Manner Coffee(徐汇滨江店),斜土路街道瑞宁路243号（近滨江滑板公园）,10/07/2025,0
Manner Coffee(徐汇滨江店),斜土路街道瑞宁路243号（近滨江滑板公园）,10/06/2025,0
